id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401628582,home,2116,UCF,Big 12,2024-08-29 23:00:00+00:00,FBC Mortgage Stadium,False,BIG12ESPN+,UCF,#ba9b37,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,UCF -38.5,58.5,assets/tv-logos/BIG12ESPN+ tv channel logo/Big_12_Conference.png,
401628582,away,160,New Hampshire,CAA,2024-08-29 23:00:00+00:00,FBC Mortgage Stadium,False,BIG12ESPN+,UNH,#004990,#c3c4c6,http://a.espncdn.com/i/teamlogos/ncaa/500/160.png,UCF -38.5,58.5,assets/tv-logos/BIG12ESPN+ tv channel logo/Big_12_Conference.png,24.0
401628582_1,home,2116,UCF,Big 12,2024-08-29 23:00:00+00:00,FBC Mortgage Stadium,False,ESPN+,UCF,#ba9b37,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,UCF -38.5,58.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401628582_1,away,160,New Hampshire,CAA,2024-08-29 23:00:00+00:00,FBC Mortgage Stadium,False,ESPN+,UNH,#004990,#c3c4c6,http://a.espncdn.com/i/teamlogos/ncaa/500/160.png,UCF -38.5,58.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,24.0
401636387,home,2433,UL Monroe,Sun Belt,2024-08-29 23:00:00+00:00,Malone Stadium,False,ESPN+,ULM,#231F20,#b18445,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,UL Monroe -4.5,45.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401636387,away,2296,Jackson State,SWAC,2024-08-29 23:00:00+00:00,Malone Stadium,False,ESPN+,JKST,#123297,#b5b7ba,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png,UL Monroe -4.5,45.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,15.0
401634299,home,152,NC State,ACC,2024-08-29 23:00:00+00:00,Carter-Finley Stadium,False,ACC NETWORK,NCSU,#cc0000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,NC State -32.5,60.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,24.0
401634299,away,2717,Western Carolina,Southern,2024-08-29 23:00:00+00:00,Carter-Finley Stadium,False,ACC NETWORK,WCU,#492F91,#bf9e70,http://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,NC State -32.5,60.5,assets/tv-logos/ACC NETWORK tv channel logo/ACC_Network_Raycom_Logo.png,17.0
401644729,home,189,Bowling Green,Mid-American,2024-08-29 23:00:00+00:00,Doyt L. Perry Stadium,False,ESPN+,BGSU,#2b1000,#492000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,Bowling Green -15.5,60.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401644729,away,2230,Fordham,Patriot,2024-08-29 23:00:00+00:00,Doyt L. Perry Stadium,False,ESPN+,FOR,#830032,#909090,http://a.espncdn.com/i/teamlogos/ncaa/500/2230.png,Bowling Green -15.5,60.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401644730,home,2117,Central Michigan,Mid-American,2024-08-29 23:00:00+00:00,Kelly/Shorts Stadium,False,ESPN+,CMU,#6a0032,#ffc82e,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png,Central Michigan -33.5,54.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401644730,away,2115,Central Connecticut,NEC,2024-08-29 23:00:00+00:00,Kelly/Shorts Stadium,False,ESPN+,CCSU,#1B49A2,#d1d5d8,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png,Central Michigan -33.5,54.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401644728,home,2649,Toledo,Mid-American,2024-08-29 23:30:00+00:00,Glass Bowl,False,ESPN+,TOL,#0a2240,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,Toledo -27.5,53.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401644728,away,2184,Duquesne,NEC,2024-08-29 23:30:00+00:00,Glass Bowl,False,ESPN+,DUQ,#002D62,#b90b2e,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,Toledo -27.5,53.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,19.0
401628320,home,8,Arkansas,SEC,2024-08-29 23:30:00+00:00,War Memorial Stadium (AR),True,ESPNU,ARK,#a41f35,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png,Arkansas -50.5,60.5,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,
401628320,away,2029,Arkansas-Pine Bluff,SWAC,2024-08-29 23:30:00+00:00,War Memorial Stadium (AR),True,ESPNU,UAPB,#e0aa0f,#eaaa00,http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png,Arkansas -50.5,60.5,assets/tv-logos/ESPNU tv channel logo/ESPNU.png,
401645317,home,2655,Tulane,American Athletic,2024-08-30 00:00:00+00:00,Yulman Stadium,False,ESPN+,TULN,#006547,#468ac9,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,Tulane -28.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,20.0
401645317,away,2545,SE Louisiana,Southland,2024-08-30 00:00:00+00:00,Yulman Stadium,False,ESPN+,SELA,#215732,#ffc72c,http://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,Tulane -28.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401628448,home,135,Minnesota,Big Ten,2024-08-30 00:00:00+00:00,Huntington Bank Stadium,False,FOX,MINN,#5e0a2f,#fab41c,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,North Carolina -1.5,52.5,assets/tv-logos/FOX tv channel logo/Fox_Logo_black.png,
