id,team_type,team_id,team_name,team_conference,start_date,venue,neutral_site,outlet,abbreviation,color,alternateColor,logos,formatted_spread,over_under,outlet_logos,rank
401762522,away,68,Boise State,Mountain West,2025-08-28 21:30:00+00:00,Raymond James Stadium,False,ESPN,BOIS,#0033a0,#fa4616,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png,Boise State -4.5,62.0,assets/tv-logos/ESPN tv channel logo/ESPN_logos.png,25.0
401767549,home,2754,Youngstown State,MVFC,2025-08-28 22:00:00+00:00,Stambaugh Stadium,False,ESPN+,YSU,#E51936,#690717,http://a.espncdn.com/i/teamlogos/ncaa/500/2754.png,Youngstown State -24,59.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,24.0
401767549,away,2385,Mercyhurst,NEC,2025-08-28 22:00:00+00:00,Stambaugh Stadium,False,ESPN+,MERC,#null,#null,http://a.espncdn.com/i/teamlogos/ncaa/500/2385.png,Youngstown State -24,59.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401752794,home,164,Rutgers,Big Ten,2025-08-28 22:00:00+00:00,SHI Stadium,False,BTN,RUTG,#d21034,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png,Rutgers -15.5,52.0,assets/tv-logos/BTN tv channel logo/Btn-440.png,
401752794,away,195,Ohio,Mid-American,2025-08-28 22:00:00+00:00,SHI Stadium,False,BTN,OHIO,#295A29,#e4bb85,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,Rutgers -15.5,52.0,assets/tv-logos/BTN tv channel logo/Btn-440.png,
401762790,home,189,Bowling Green,Mid-American,2025-08-28 22:00:00+00:00,Doyt L. Perry Stadium,False,ESPN+,BGSU,#2b1000,#492000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png,Bowling Green -21.5,53.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401762790,away,322,Lafayette,Patriot,2025-08-28 22:00:00+00:00,Doyt L. Perry Stadium,False,ESPN+,LAF,#790000,#a59474,http://a.espncdn.com/i/teamlogos/ncaa/500/322.png,Bowling Green -21.5,53.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401757219,home,48,Delaware,Conference USA,2025-08-28 23:00:00+00:00,Delaware Stadium,False,ESPN+,DEL,#033594,#e8ce31,http://a.espncdn.com/i/teamlogos/ncaa/500/48.png,Delaware -30.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401757219,away,2169,Delaware State,MEAC,2025-08-28 23:00:00+00:00,Delaware Stadium,False,ESPN+,DSU,#FF3630,#009cdd,http://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,Delaware -30.5,55.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401767171,home,2197,Eastern Illinois,Big South-OVC,2025-08-28 23:00:00+00:00,O'Brien Stadium,False,ESPN+,EIU,#null,#bebab9,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,Eastern Illinois -9.5,47.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
401767171,away,2168,Dayton,Pioneer,2025-08-28 23:00:00+00:00,O'Brien Stadium,False,ESPN+,DAY,#004B8D,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2168.png,Eastern Illinois -9.5,47.5,assets/tv-logos/ESPN+ tv channel logo/ESPN_Plus.png,
